reason,name,primary_type,address,website
out-of-area,"Dim Sum Kitchen Express","chinese_restaurant","2520 San Bruno Ave, San Francisco, CA 94134, USA",
out-of-area,"Drew's Barbecue","barbecue_restaurant","101 Hahn St, San Francisco, CA 94134, USA",
out-of-area,"Eggettes","tea_house","639 El Camino Real, South San Francisco, CA 94080, USA","http://eggettes.com/"
out-of-area,"El Faro's Mexican Food","mexican_restaurant","435 El Camino Real, South San Francisco, CA 94080, USA","http://elfarosmexicanfood.site/"
out-of-area,"El Gran Taco Loco","mexican_restaurant","4591 Mission St, San Francisco, CA 94112, USA","https://www.elgrantacoloco.com/"
out-of-area,"Fairway Cocktail Lounge","bar","900 El Camino Real, South San Francisco, CA 94080, USA",
out-of-area,"Fat Beli Deli","deli","2598 San Bruno Ave, San Francisco, CA 94134, USA","http://www.fatbelideli.com/"
out-of-area,"Focaccia Reserve Inc","restaurant","1 Tower Pl, South San Francisco, CA 94080, USA","https://www.focaccia.com/"
out-of-area,"Foundry & Lux","american_restaurant","151 Oyster Point Blvd, South San Francisco, CA 94080, USA","http://www.foundryandlux.com/"
out-of-area,"Fun Tea House","restaurant","2891 San Bruno Ave, San Francisco, CA 94134, USA","http://www.funteahouse.com/"
out-of-area,"Galinette","french_restaurant","3554-3560 Taraval St, San Francisco, CA 94116, USA","https://www.galinettesf.com/"
out-of-area,"Genesis Marina Marketplace","restaurant","3500 Marina Blvd Ste 230, Brisbane, CA 94005, USA","https://www.marina-marketplace.com/"
out-of-area,"Grand Palace Seafood Restaurant 富源酒家","dim_sum_restaurant","359 Grand Ave, South San Francisco, CA 94080, USA","https://grandpalaceseafoodrestaurant.com/?utm_source=google"
out-of-area,"Great Steak","american_restaurant","3251 20th Ave Spc 25E, San Francisco, CA 94132, USA","https://www.thegreatsteak.com/stores/7232?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb"
out-of-area,"Grill City","filipino_restaurant","3573 Callan Blvd, South San Francisco, CA 94080, USA","http://www.grillcity.com/"
